id;area;master_area
20500009;ECOLOGIA;20000006
20501005;ECOLOGIA TEORICA;20500009
20502001;ECOLOGIA DE ECOSSISTEMAS;20500009
20503008;ECOLOGIA APLICADA;20500009
10800000;OCEANOGRAFIA;20000006
10801006;OCEANOGRAFIA BIOLOGICA;10800000
10801014;INTER.ENTRE OS ORGAN.MARINHOS E OS PARAMETROS AMBIENTAIS;10800000
20300000;BOTANICA;20000006
20301006;PALEOBOTANICA;20300000
20302002;MORFOLOGIA VEGETAL;20300000
20302010;MORFOLOGIA EXTERNA;20300000
20302029;CITOLOGIA VEGETAL;20300000
20302037;ANATOMIA VEGETAL;20300000
20302045;PALINOLOGIA;20300000
20303009;FISIOLOGIA VEGETAL;20300000
20303017;NUTRICAO E CRESCIMENTO VEGETAL;20300000
20303025;REPRODUCAO VEGETAL;20300000
20303033;ECOFISIOLOGIA VEGETAL;20300000
20304005;TAXONOMIA VEGETAL;20300000
20304013;TAXONOMIA DE CRIPTOGAMOS;20300000
20304021;TAXONOMIA DE FANEROGAMOS;20300000
20305001;FITOGEOGRAFIA;20300000
20306008;BOTANICA APLICADA;20300000
20400004;ZOOLOGIA;20000006
20401000;PALEOZOOLOGIA;20400004
20402007;MORFOLOGIA DOS GRUPOS RECENTES;20400004
20403003;FISIOLOGIA DOS GRUPOS RECENTES;20400004
20404000;COMPORTAMENTO ANIMAL;20400004
20405006;TAXONOMIA DOS GRUPOS RECENTES;20400004
20406002;ZOOLOGIA APLICADA;20400004
20406010;CONSERVACAO DAS ESPECIES ANIMAIS;20400004
20406029;UTILIZACAO DOS ANIMAIS;20400004
20406037;CONTROLE POPULACIONAL DE ANIMAIS;20400004
30000009;ENGENHARIAS;10000003
30100003;ENGENHARIA CIVIL;30000009
30101000;CONSTRUCAO CIVIL;30100003
30101018;MATERIAIS E COMPONENTES DE CONSTRUCAO;30100003
30101026;PROCESSOS CONSTRUTIVOS;30100003
30101034;INSTALACOES PREDIAIS;30100003
30102006;ESTRUTURAS;30100003
30102014;ESTRUTURAS DE CONCRETO;30100003
30102022;ESTRUTURAS DE MADEIRAS;30100003
30102030;ESTRUTURAS METALICAS;30100003
30102049;MECANICA DAS ESTRUTURAS;30100003
30103002;GEOTECNICA;30100003
30103010;FUNDACOES E ESCAVACOES;30100003
30103029;MECANICAS DAS ROCHAS;30100003
30103037;MECANICA DOS SOLOS;30100003
30103045;OBRAS DE TERRA E ENROCAMENTO;30100003
30103053;PAVIMENTOS;30100003
30104009;ENGENHARIA HIDRAULICA;30100003
30104017;HIDRAULICA;30100003
30104025;HIDROLOGIA;30100003
30105005;INFRA-ESTRUTURA DE TRANSPORTES;30100003
30105013;AEROPORTOS PROJETO E CONSTRUCAO;30100003
30105021;FERROVIAS PROJETOS E CONSTRUCAO;30100003
30105030;PORTOS E VIAS NAVEGAVEIS PROJETO E CONSTRUCAO;30100003
30105048;RODOVIAS PROJETO E CONSTRUCAO;30100003
30700000;ENGENHARIA SANITARIA;30000009
30701007;RECURSOS HIDRICOS;30700000
30701015;PLANEJAMENTO INTEGRADO DOS RECURSOS HIDRICOS;30700000
30701023;TECNOLOGIA E PROBLEMAS SANITARIOS DE IRRIGACAO;30700000
30701031;AGUAS SUBTERRANEAS E POCOS PROFUNDOS;30700000
30701040;CONTROLE DE ENCHENTES E DE BARRAGENS;30700000
30701058;SEDIMENTOLOGIA;30700000
30702003;TRATAMENTO DE AGUAS DE ABASTECIMENTO E RESIDUARIAS;30700000
30702011;QUIMICA SANITARIA;30700000
30702020;PROCESSOS SIMPLIFICADOS DE TRATAMENTO DE AGUAS;30700000
30702038;TECNICAS CONVENCIONAIS DE TRATAMENTO DE AGUAS;30700000
30702046;TECNICAS AVANCADAS DE TRATAMENTO DE AGUAS;30700000
30702054;ESTUDOS E CARACTERIZACAO DE EFLUENTES INDUSTRIAIS;30700000
30702062;LAY OUT DE PROCESSOS INDUSTRIAIS;30700000
30702070;RESIDUOS RADIOATIVOS;30700000
30702078;TECNICAS CONVENCIONAIS DE TRATAMENTO DE AGUAS;30700000
30703000;SANEAMENTO BASICO;30700000
30703018;TECNICAS DE ABASTECIMENTO DA AGUA;30700000
30703026;DRENAGEM DE AGUAS RESIDUARIAS;30700000
30703034;DRENAGEM URBANA DE AGUAS PLUVIAIS;30700000
30703042;RESIDUOS SOLIDOS DOMESTICOS E INDUSTRIAIS;30700000
30703050;LIMPEZA PUBLICA;30700000
30703069;INSTALACOES HIDRAULICO-SANITARIAS;30700000
30704006;SANEAMENTO AMBIENTAL;30700000
30704014;ECOLOGIA APLICADA A ENGENHARIA SANITARIA;30700000
30704022;MICROBIOLOGIA APLICADA E ENGENHARIA SANITARIA;30700000
30704030;PARASITOLOGIA APLICADA A ENGENHARIA SANITARIA;30700000
30704049;QUALIDADE DO AR DAS AGUAS E DO SOLO;30700000
30704057;CONTROLE DA POLUICAO;30700000
30704065;LEGISLACAO AMBIENTAL;30700000
31000002;ENGENHARIA DE TRANSPORTES;30000009
31001009;PLANEJAMENTO DE TRANSPORTES;31000002
31001017;PLANEJAMENTO E ORGANIZACAO DO SISTEMA DE TRANSPORTE;31000002
31001025;ECONOMIA DOS TRANSPORTES;31000002
31002005;VEICULOS E EQUIPAMENTOS DE CONTROLE;31000002
31002013;VIAS DE TRANSPORTE;31000002
31002021;VEICULOS DE TRANSPORTES;31000002
31002030;ESTACAO DE TRANSPORTE;31000002
31002048;EQUIPAMENTOS AUXILIARES E CONTROLES;31000002
31003001;OPERACOES DE TRANSPORTES;31000002
31003010;ENGENHARIA DE TRAFEGO;31000002
31003028;CAPACIDADE DE VIAS DE TRANSPORTE;31000002
31003036;OPERACAO DE SISTEMAS DE TRANSPORTE;31000002
30200008;ENGENHARIA DE MINAS;30000009
30201004;PESQUISA MINERAL;30200008
30201012;CARACTERIZACAO DO MINERIO;30200008
30201020;DIMENSIONAMENTO DE JAZIDAS;30200008
30202000;LAVRA;30200008
30202019;LAVRA A CEU ABERTO;30200008
30202027;LAVRA DE MINA SUBTERRANEA;30200008
30202035;EQUIPAMENTOS DE LAVRA;30200008
30203007;TRATAMENTO DE MINERIOS;30200008
30203015;METODOS DE CONCENTRACAO E ENRIQUECIMENTOS DE MINERIOS;30200008
30203023;EQUIPAMENTOS DE BENEFICIAMENTO DE MINERIOS;30200008
30300002;ENGENHARIA DE MATERIAIS E METALURGICA;30000009
30301009;INSTALACOES E EQUIPAMENTOS METALURGICOS;30300002
30301017;INSTALACOES METALURGICAS;30300002
30301025;EQUIPAMENTOS METALURGICOS;30300002
30302005;METALURGIA EXTRATIVA;30300002
30302013;AGLOMERACAO;30300002
30302021;ELETROMETALURGIA;30300002
30302030;HIDROMETALURGIA;30300002
30302048;PIROMETALURGIA;30300002
30302056;TRATAMENTO DE MINERIOS;30300002
30303001;METALURGIA DE TRANSFORMACAO;30300002
30303010;CONFORMACAO MECANICA;30300002
30303028;FUNDICAO;30300002
30303036;METALURGIA DE PO;30300002
30303044;RECOBRIMENTOS;30300002
30303052;SOLDAGEM;30300002
30303060;TRATAMENTO TERMICO MECANICOS E QUIMICOS;30300002
30303079;USINAGEM;30300002
30304008;METALURGIA FISICA;30300002
30304016;ESTRUTURA DOS METAIS E LIGAS;30300002
30304024;PROPRIEDADES FISICAS DOS METAIS E LIGAS;30300002
30304032;PROPRIEDADES MECANICAS DOS METAIS E LIGAS;30300002
30304040;TRANSFORMACAO DE FASES;30300002
30304059;CORROSAO;30300002
30305004;MATERIAIS NAO-METALICOS;30300002
30305012;EXTRACAO E TRANSFORMACAO DE MATERIAIS;30300002
30305020;CERAMICOS;30300002
30305039;MATERIAIS CONJUGADOS NAO-METALICOS;30300002
30305047;POLIMEROS  APLICACOES;30300002
30600006;ENGENHARIA QUIMICA;30000009
30601002;PROCESSOS INDUSTRIAIS DE ENGENHARIA QUIMICA;30600006
30601010;PROCESSOS BIOQUIMICOS;30600006
30601029;PROCESSOS ORGANICOS;30600006
30601037;PROCESSOS INORGANICOS;30600006
30602009;OPERACOES INDUSTRIAIS E EQUIPAMENTOS PARA ENG. QUIMICA;30600006
30602017;REATORES QUIMICOS;30600006
30602025;OPERACOES CARACTERISTICAS DE PROCESSOS BIOQUIMICOS;30600006
30602033;OPERACOES DE SEPARACAO E MISTURA;30600006
30603005;TECNOLOGIA QUIMICA;30600006
30603013;BALANCOS GLOBAIS DE MATERIA E ENERGIA;30600006
30603021;AGUA;30600006
30603030;ALCOOL;30600006
30603048;ALIMENTOS;30600006
30603056;BORRACHAS;30600006
30603064;CARVAO;30600006
30603072;CERAMICA;30600006
30603080;CIMENTO;30600006
30603099;COURO;30600006
30603102;DETERGENTES;30600006
30603110;FERTILIZANTES;30600006
30603129;MEDICAMENTOS;30600006
30603137;METAIS NAO-FERROSOS;30600006
30603145;OLEOS;30600006
30603153;PAPEL E CELULOSE;30600006
30603161;PETROLEO E PETROQUIMICA;30600006
30603170;POLIMEROS;30600006
30603188;PRODUTOS NATURAIS;30600006
30603196;TEXTEIS;30600006
30603200;TRATAMENTOS E APROVEITAMENTOS DE REJEITOS;30600006
30603218;XISTO;30600006
30900000;ENGENHARIA NUCLEAR;30000009
30901006;APLICACOES DE RADIOISOTOPOS;30900000
30901014;PRODUCAO DE RADIOISOPOTOS;30900000
30901022;APLICACOES INDUSTRIAIS DE RADIOISOPOTOS;30900000
30901030;INSTRUMENTACAO PARA MEDIDA E CONTROLE DE RADIACAO;30900000
30902002;FUSAO CONTROLADA;30900000
30902010;PROCESSOS INDUSTRIAIS DA FUSAO CONTROLADA;30900000
30902029;PROBLEMAS TECNOLOGICOS DA FUSAO CONTROLADA;30900000
30903009;COMBUSTIVEL NUCLEAR;30900000
30903017;EXTRACAO DE COMBUSTIVEL NUCLEAR;30900000
30903025;CONVERSAO ENRIQUECIMENTO E FABRICACAO DE COMBUST. NUCLEAR;30900000
30903033;REPROCESSAMENTO DO COMBUSTIVEL NUCLEAR;30900000
30903041;REJEITOS DE COMBUSTIVEL NUCLEAR;30900000
30904005;TECNOLOGIA DOS REATORES;30900000
30904013;NUCLEO DO REATOR;30900000
30904021;MATERIAIS NUCLEARES E BLINDAGEM DE REATORES;30900000
30904030;TRANSFERENCIA DE CALOR EM REATORES;30900000
30904048;GERACAO E INTEGRACAO COM SISTEMAS ELETRICOS EM REATORES;30900000
30904056;INSTRUMENTACAO PARA OPERACAO E CONTROLE DE REATORES;30900000
30904064;SEGURANCA LOCALIZACAO E LICENCIAMENTO DE REATORES;30900000
30904072;ASPECTOS ECONOMICOS DE REATORES;30900000
30500001;ENGENHARIA MECANICA;30000009
30501008;FENOMENOS DE TRANSPORTES;30500001
30501016;TRANSFERENCIA DE CALOR;30500001
